2025-03-04 12:11:40.203 | INFO     | __main__:_setup_logger:109 - 日志文件: logs/backport_20250304_121140.log
2025-03-04 12:11:40.204 | INFO     | __main__:run:113 - 开始执行 模式2
2025-03-04 12:11:40.204 | INFO     | __main__:_get_commits_list:225 - commits_file:workspace/gregkh/linux/cache/branch_linux-6.12.10_commits.json
2025-03-04 12:11:40.205 | INFO     | __main__:_get_commits_list:226 - use_cached_commits:True
2025-03-04 12:11:40.205 | INFO     | __main__:_scan_commits:268 - 扫描提交历史: 页码范围=1-3, 每页=100
2025-03-04 12:11:40.205 | INFO     | __main__:_scan_commits:282 - 获取第 1 页提交...
2025-03-04 12:11:40.799 | DEBUG    | __main__:_scan_commits:284 - 请求URL: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=1
2025-03-04 12:11:40.800 | ERROR    | __main__:_scan_commits:304 - 获取第 1 页提交失败: 404 Client Error: Not Found for url: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=1
2025-03-04 12:11:40.800 | INFO     | __main__:_scan_commits:282 - 获取第 2 页提交...
2025-03-04 12:11:41.376 | DEBUG    | __main__:_scan_commits:284 - 请求URL: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=2
2025-03-04 12:11:41.376 | ERROR    | __main__:_scan_commits:304 - 获取第 2 页提交失败: 404 Client Error: Not Found for url: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=2
2025-03-04 12:11:41.377 | INFO     | __main__:_scan_commits:282 - 获取第 3 页提交...
2025-03-04 12:11:41.976 | DEBUG    | __main__:_scan_commits:284 - 请求URL: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=3
2025-03-04 12:11:41.977 | ERROR    | __main__:_scan_commits:304 - 获取第 3 页提交失败: 404 Client Error: Not Found for url: https://api.github.com/repos/gregkh/linux/commits?sha=linux-6.12.10&per_page=100&page=3
2025-03-04 12:11:41.978 | INFO     | __main__:_get_commits_list:239 - 保存commits信息到缓存文件
2025-03-04 12:11:41.979 | INFO     | __main__:_process_mode2:171 - 找到 0 个上游提交
2025-03-04 12:11:41.979 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: direct_apply
2025-03-04 12:11:41.980 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: llm_adapter
2025-03-04 12:11:41.980 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: patch_adapter
2025-03-04 12:11:41.980 | INFO     | __main__:_print_mode2_statistics:430 - ============================================================
2025-03-04 12:11:41.981 | INFO     | __main__:_print_mode2_statistics:431 - 模式2处理统计
2025-03-04 12:11:41.981 | INFO     | __main__:_print_mode2_statistics:432 - ============================================================
2025-03-04 12:11:41.981 | INFO     | __main__:_print_mode2_statistics:433 - 总提交数: 0
2025-03-04 12:11:41.981 | INFO     | __main__:_print_mode2_statistics:434 - 成功处理: 0
2025-03-04 12:11:41.981 | INFO     | __main__:_print_mode2_statistics:435 - 失败处理: 0
2025-03-04 12:11:41.982 | INFO     | __main__:_print_mode2_statistics:436 - 成功率: 0.00%
2025-03-04 12:11:41.982 | INFO     | __main__:_print_mode2_statistics:443 - ============================================================
2025-03-04 12:11:41.983 | INFO     | __main__:_print_mode2_statistics:465 - 统计结果已保存到: statistics/mode2_stats_linux-6.12.10_20250304_121141.json
2025-03-04 12:11:41.984 | INFO     | __main__:run:122 - 处理完成
