2025-03-04 12:17:38.391 | INFO     | __main__:_setup_logger:109 - 日志文件: logs/backport_20250304_121738.log
2025-03-04 12:17:38.391 | INFO     | __main__:run:113 - 开始执行 模式2
2025-03-04 12:17:38.392 | INFO     | __main__:_get_commits_list:225 - commits_file:workspace/gregkh/linux/cache/branch_linux-6.12.y_commits.json
2025-03-04 12:17:38.392 | INFO     | __main__:_get_commits_list:226 - use_cached_commits:True
2025-03-04 12:17:38.392 | INFO     | __main__:_get_commits_list:229 - 从缓存文件加载commits信息
2025-03-04 12:17:38.394 | INFO     | __main__:_process_mode2:171 - 找到 296 个上游提交
2025-03-04 12:17:38.395 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: direct_apply
2025-03-04 12:17:38.396 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: llm_adapter
2025-03-04 12:17:38.396 | INFO     | core.adaptation_pipeline:_load_modules:55 - 已加载模块: patch_adapter
2025-03-04 12:17:38.396 | INFO     | __main__:_process_mode2:186 - 处理提交 12/1: 860ca5
2025-03-04 12:17:38.397 | INFO     | core.adaptation_pipeline:process_patch:67 - 开始处理补丁: 860ca5e50f73c2a1cef7eefc9d39d04e275417f7
2025-03-04 12:17:38.397 | INFO     | core.adaptation_pipeline:process_patch:76 - 执行模块: direct_apply
2025-03-04 12:17:38.399 | INFO     | modules.direct_apply:_download_patch:211 - 下游补丁文件不存在: workspace/gregkh/linux/860ca5/patches/downstream_a9b0b4.patch
2025-03-04 12:17:38.399 | INFO     | modules.direct_apply:_download_patch:212 - 下载补丁: workspace/gregkh/linux/860ca5/patches/downstream_a9b0b4.patch
2025-03-04 12:17:38.400 | INFO     | patch_utils:download_patch:79 - parts: ['https:', '', 'github.com', 'gregkh', 'linux', 'commit', 'a9b0b4b29877cb4dc5d0842b59b5ccbacddb85bd.patch']
2025-03-04 12:17:38.400 | INFO     | patch_utils:download_patch:87 - 使用Commit API下载patch: https://api.github.com/repos/gregkh/linux/commits/a9b0b4b29877cb4dc5d0842b59b5ccbacddb85bd
2025-03-04 12:17:39.696 | INFO     | patch_utils:download_patch:103 - 补丁已保存到: workspace/gregkh/linux/860ca5/patches/downstream_a9b0b4.patch
2025-03-04 12:17:39.699 | INFO     | modules.direct_apply:_download_patch:216 - 下游补丁下载成功: workspace/gregkh/linux/860ca5/patches/downstream_a9b0b4.patch
2025-03-04 12:17:39.700 | INFO     | modules.direct_apply:_download_patch:226 - 下载补丁: https://github.com/gregkh/linux/commit/860ca5e50f73c2a1cef7eefc9d39d04e275417f7.patch
2025-03-04 12:17:39.701 | INFO     | patch_utils:download_patch:79 - parts: ['https:', '', 'github.com', 'gregkh', 'linux', 'commit', '860ca5e50f73c2a1cef7eefc9d39d04e275417f7.patch']
2025-03-04 12:17:39.701 | INFO     | patch_utils:download_patch:87 - 使用Commit API下载patch: https://api.github.com/repos/gregkh/linux/commits/860ca5e50f73c2a1cef7eefc9d39d04e275417f7
2025-03-04 12:17:40.940 | INFO     | patch_utils:download_patch:103 - 补丁已保存到: workspace/gregkh/linux/860ca5/patches/upstream_860ca5.patch
2025-03-04 12:17:40.943 | INFO     | modules.direct_apply:_download_patch:230 - 补丁下载成功: workspace/gregkh/linux/860ca5/patches/upstream_860ca5.patch
2025-03-04 12:17:41.264 | INFO     | modules.direct_apply:_prepare_test_branch:335 - 创建测试分支: test_patch_linux-6.12.y
2025-03-04 12:17:42.059 | INFO     | modules.direct_apply:_apply_patch:270 - 补丁应用成功: /home/elpsy/workspace/sow/patch-backport/workspace/gregkh/linux/860ca5/patches/upstream_860ca5.patch
2025-03-04 12:17:42.118 | INFO     | modules.direct_apply:_move_to_cache:125 - 源目录: workspace/gregkh/linux/860ca5
2025-03-04 12:17:42.119 | INFO     | modules.direct_apply:_move_to_cache:133 - 目标目录: workspace/gregkh/linux/cache
2025-03-04 12:17:42.119 | INFO     | modules.direct_apply:_move_to_cache:144 - 已将成功的commit文件夹移动到缓存: workspace/gregkh/linux/cache
2025-03-04 12:17:42.327 | INFO     | modules.direct_apply:_cleanup_test_branch:426 - 清理测试分支: test_patch_linux-6.12.y
2025-03-04 12:17:42.329 | INFO     | modules.base_module:_save_metrics:115 - 评测指标已保存到: workspace/gregkh/linux/860ca5/evaluations/direct_apply/metrics_860ca5_20250304_121742.json
2025-03-04 12:17:42.329 | INFO     | modules.base_module:_should_run:53 - 直接应用成功，跳过LLM处理
2025-03-04 12:17:42.330 | INFO     | modules.base_module:_should_run:59 - 没有LLM响应，跳过补丁适配
2025-03-04 12:17:42.330 | INFO     | core.adaptation_pipeline:process_patch:98 - 补丁处理完成，耗时: 3.93秒
2025-03-04 12:17:42.331 | INFO     | __main__:_save_results:398 - 结果已保存到: results/linux-6.12.y_860ca5_20250304_121742/result.json
2025-03-04 12:17:42.332 | INFO     | __main__:_print_summary:417 - ==================================================
2025-03-04 12:17:42.332 | INFO     | __main__:_print_summary:418 - 处理摘要 - 提交: 860ca5
2025-03-04 12:17:42.332 | INFO     | __main__:_print_summary:419 - 结果: 直接应用成功
2025-03-04 12:17:42.333 | INFO     | __main__:_print_summary:424 - ==================================================
2025-03-04 12:17:42.333 | INFO     | __main__:_print_mode2_statistics:430 - ============================================================
2025-03-04 12:17:42.333 | INFO     | __main__:_print_mode2_statistics:431 - 模式2处理统计
2025-03-04 12:17:42.334 | INFO     | __main__:_print_mode2_statistics:432 - ============================================================
2025-03-04 12:17:42.334 | INFO     | __main__:_print_mode2_statistics:433 - 总提交数: 1
2025-03-04 12:17:42.334 | INFO     | __main__:_print_mode2_statistics:434 - 成功处理: 1
2025-03-04 12:17:42.334 | INFO     | __main__:_print_mode2_statistics:435 - 失败处理: 0
2025-03-04 12:17:42.335 | INFO     | __main__:_print_mode2_statistics:436 - 成功率: 100.00%
2025-03-04 12:17:42.335 | INFO     | __main__:_print_mode2_statistics:443 - ============================================================
2025-03-04 12:17:42.336 | INFO     | __main__:_print_mode2_statistics:465 - 统计结果已保存到: statistics/mode2_stats_linux-6.12.y_20250304_121742.json
2025-03-04 12:17:42.336 | INFO     | __main__:run:122 - 处理完成
